creative_name,asset_type,aspect_ratios,offer,ready_for_campaign,files,source
CRT-2621-CHARTREAD,Video,"9:16 / 4:5 / 1:1",Strategy,YES,9,Notion Creative Library
CRT-2621-FREESIGS,Video,"9:16 / 4:5",Signals,YES,6,Notion Creative Library
CRT-2621-GOLDHOPE,Video,"9:16 / 4:5",MM System Course,YES,6,Notion Creative Library
CRT-2621-NOLAMBOS,Video,"9:16 / 4:5 / 1:1",MM System Course,YES,9,Notion Creative Library
CRT-2623-AIANALYSIS,Static Image,"9:16 / 4:5 / 1:1",Daily Analysis,YES,3,Notion Creative Library
CRT-2623-CHARTDESK,Static Image,"9:16 / 4:5 / 1:1",Strategy,YES,3,Notion Creative Library
CRT-2623-EBOOKDESK,Static Image,"9:16 / 4:5 / 1:1",Library - eBooks,YES,3,Notion Creative Library
CRT-2623-EBOOKSTACK,Static Image,"9:16 / 4:5 / 1:1",Library - eBooks,YES,3,Notion Creative Library
CRT-2623-GOLDBAR,Static Image,"9:16 / 4:5 / 1:1",Signals,YES,3,Notion Creative Library
CRT-2623-INDICATORSUITE,Static Image,"9:16 / 4:5 / 1:1",Indicator,YES,3,Notion Creative Library
CRT-2623-PANTHEREYE,Static Image,"9:16 / 4:5 / 1:1",News and Articles,YES,3,Notion Creative Library
CRT-2623-PHONEALERT,Static Image,"9:16 / 4:5 / 1:1",Signals,YES,3,Notion Creative Library
CRT-2624-APP-COURSE-A1,Video,"9:16 / 4:5",Daily Analysis,YES,6,Notion Creative Library
CRT-2624-APP-DAILYREAD-A1,Static Image,"9:16 / 4:5",Daily Analysis,YES,6,Notion Creative Library
CRT-2624-APP-DESK-A1,Video,"9:16 / 4:5 / 1:1",MM System Course,YES,9,Notion Creative Library
CRT-2624-APP-FLOAT-A1,Video,"9:16 / 4:5 / 1:1",MM System Course,YES,9,Notion Creative Library
CRT-2624-APP-LIVECLASS-A1,Video,"9:16 / 4:5",Live Classes,YES,6,Notion Creative Library
CRT-2624-DAY1-A1,Video,"9:16 / 4:5",MM System Course,YES,6,Notion Creative Library
CRT-2624-FIVEAM,Static Image,"9:16 / 4:5",Daily Analysis,YES,6,Notion Creative Library
CRT-2624-HOURLY-A1,Video,"9:16 / 4:5",Daily Analysis,YES,6,Notion Creative Library
CRT-2624-INDICATORS10,Static Image,"9:16 / 4:5 / 1:1",Indicator,YES,9,Notion Creative Library
CRT-2624-INPOCKET,Static Image,"9:16 / 1:1",Signals,YES,6,Notion Creative Library
CRT-2624-PROPFIRM-A1,Video,"9:16 / 4:5",Strategy,YES,6,Notion Creative Library
CRT-2624-SPEED-A1,Video,"9:16 / 1:1",Daily Analysis,YES,6,Notion Creative Library
CRT-2628-INDI-SUPERTREND-A,Video,"4:5",Fundamental Desk - AI Tool,YES,1,Notion Creative Library
